salesorderid,revisionnumber,orderdate,duedate,shipdate,status,onlineorderflag,purchaseordernumber,accountnumber,customerid,salespersonid,territoryid,billtoaddressid,shiptoaddressid,shipmethodid,creditcardid,creditcardapprovalcode,currencyrateid,subtotal,taxamt,freight,totaldue,comment,rowguid,modifieddate
45040,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO18009115235,10-4020-000510,29565,276.0,4,1073,1073,5,4322.0,45356Vi22691,,419.4589,40.2681,12.5838,472.3108,,636df5f9-b1f1-47d9-8747-3599b00c1f5d,2022-12-07
45041,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO17458147053,10-4020-000577,29858,280.0,1,894,894,5,6646.0,75510Vi34603,,419.4589,40.2681,12.5838,472.3108,,311d3adf-9b54-4e38-8314-0e776e42aa5f,2022-12-07
45042,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO16617111461,10-4020-000397,29898,280.0,1,876,876,5,806.0,95514Vi4081,,40648.38,3901.9785,1219.3683,45769.7268,,60adc018-ac87-4919-8949-8312a9319c7c,2022-12-07
45043,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO16588117521,10-4020-000146,29580,283.0,1,849,849,5,15232.0,35553Vi78804,,32576.7309,3126.8358,977.1362,36680.7029,,9eaf09fe-c0cf-4f70-8539-45524d6bae41,2022-12-07
45044,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO16008114038,10-4020-000511,30052,276.0,4,1074,1074,5,13349.0,105603Vi69217,,5056.7532,486.4007,152.0002,5695.1541,,cd164105-0ce9-48a3-b0f1-9ed8ede6db3c,2022-12-07
45045,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO15428115744,10-4020-000646,29974,277.0,3,629,629,5,10370.0,55694Vi53503,,14261.358,1368.984,427.8075,16058.1495,,b7e22b2d-14bf-4b44-92f3-f0f914c5bf09,2022-12-07
45046,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO14413152179,10-4020-000383,29682,281.0,4,1051,1051,5,18502.0,15840Vi96122,,838.9178,80.5361,25.1675,944.6214,,c9975326-2569-40b4-8354-726dbba93979,2022-12-07
45047,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO14732155479,10-4020-000514,29614,282.0,6,529,529,5,1566.0,85842Vi8045,2396.0,39547.8476,3819.0898,1193.4656,44560.403,,2fd124f6-1238-4daa-9fb2-427537405019,2022-12-07
45048,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO14384114878,10-4020-000504,29566,275.0,3,810,810,5,18017.0,105886Vi93490,,6127.782,588.0543,183.767,6899.6033,,bbd2c81f-6db9-433e-910f-a8dc3624e60d,2022-12-07
45049,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO13978117499,10-4020-000200,29890,283.0,1,855,855,5,13693.0,25906Vi70960,,1379.5229,134.2407,41.9502,1555.7138,,3d769edf-f29a-4094-ac07-58efe039d71c,2022-12-07
45050,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO14123112135,10-4020-000578,29747,283.0,1,895,895,5,15538.0,25917Vi80261,,4294.9438,418.3278,130.7274,4843.999,,9d99fead-bdd9-4f99-bd0c-91234f97160c,2022-12-07
45051,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO13949171584,10-4020-000643,29973,275.0,3,825,825,5,15875.0,25936Vi82016,,3007.9647,288.7646,90.2389,3386.9682,,3a1cda28-2d84-4030-82ba-f925c749619b,2022-12-07
45052,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO13862115869,10-4020-000119,30067,282.0,6,464,464,5,3980.0,95951Vi20982,2396.0,28409.916,2727.3519,852.2975,31989.5654,,9d67de6a-afe3-4cb5-b6e3-f072e8ff1441,2022-12-07
45053,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO13775163879,10-4020-000618,29844,275.0,2,821,821,5,1417.0,35999Vi7271,,19314.9998,1853.874,579.3356,21748.2094,,2d4f3b3f-c20d-4791-975e-7be41ae4800c,2022-12-07
45054,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO12760127685,10-4020-000083,29596,282.0,6,458,458,5,19204.0,26088Vi99806,2396.0,13254.3593,1272.4185,397.6308,14924.4086,,b980dda1-21ae-4dea-b0d5-8dcdcf66fb57,2022-12-07
45055,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO12412126535,10-4020-000670,29827,277.0,3,631,631,5,11886.0,126175Vi61402,,19742.7832,1894.4513,592.016,22229.2505,,51cc1294-31d8-4885-8363-2275c63c96c1,2022-12-07
45056,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO11861118331,10-4020-000017,29811,275.0,5,755,755,5,18153.0,36210Vi94127,,38655.486,3710.5011,1159.5316,43525.5187,,316a7945-f112-4586-a589-8b89b3fe2662,2022-12-07
45057,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO11049133413,10-4020-000679,29824,278.0,6,556,556,5,14030.0,16339Vi72763,2396.0,22233.0559,2134.2282,666.9463,25034.2304,,6128f680-e14f-4682-bdbb-61972a752e37,2022-12-07
45058,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO10527160614,10-4020-000480,29761,278.0,6,525,525,5,5439.0,126372Vi28482,2396.0,5488.8419,526.9288,164.6653,6180.436,,69d103df-8fc7-4d54-875b-52e4b5cdb9f6,2022-12-07
45059,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO10730115502,10-4020-000491,29489,281.0,4,1069,1069,5,6653.0,126398Vi34642,,31282.4841,3002.5801,938.3063,35223.3705,,97ee3578-6963-43f5-b0d6-7825cce112a8,2022-12-07
45060,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO10817172372,10-4020-000203,29889,281.0,4,1021,1021,5,5093.0,66407Vi26658,,23946.4874,2298.1792,718.181,26962.8476,,73c93a72-49d0-46ae-ac21-7bd2c7b6cfb3,2022-12-07
45061,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO522121303,10-4020-000676,29825,279.0,5,985,985,5,16281.0,106506Vi84182,,73261.1513,7032.2178,2197.568,82490.9371,,270eb149-81e2-4564-9ca6-8a4502c08ae6,2022-12-07
45062,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO1189166374,10-4020-000423,29661,279.0,5,955,955,5,5301.0,16594Vi27707,,15842.6258,1519.7731,474.9291,17837.328,,675989f1-03ce-4847-830e-59f23fd05a86,2022-12-07
45063,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO1566189373,10-4020-000486,29759,275.0,2,808,808,5,76.0,96689Vi373,,11121.1886,1067.6341,333.6357,12522.4584,,1f27e091-6201-4d2b-878d-6f3f042e9074,2022-12-07
45064,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO2552154948,10-4020-000506,29497,283.0,1,889,889,5,13045.0,76842Vi67506,,53033.1921,5089.8485,1590.5777,59713.6183,,7262b39b-3501-4ed7-a969-50bad3b18305,2022-12-07
45065,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO3393154257,10-4020-000549,29912,279.0,5,971,971,5,267.0,37889Vi1394,,24025.0455,2306.4044,720.7514,27052.2013,,4a57c582-cb3a-4067-ad83-7f119271c59a,2022-12-07
45066,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO4176112729,10-4020-000458,30084,279.0,5,958,958,5,2519.0,108102Vi13146,,419.4589,40.2681,12.5838,472.3108,,df242205-e957-426a-b9fa-fd84407ebe74,2022-12-07
45067,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO4959186788,10-4020-000269,29610,275.0,2,783,783,5,3235.0,128133Vi17021,,3091.8551,298.8365,93.3864,3484.078,,21700701-56ec-4623-96e7-83e89ba95abd,2022-12-07
45068,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO5075140071,10-4020-000344,29606,283.0,1,871,871,5,14612.0,48170Vi75759,,2133.1707,204.7844,63.9951,2401.9502,,2c7d223a-a3d4-48f1-b94b-d693a433120b,2022-12-07
45069,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO5365112854,10-4020-000161,29718,275.0,2,771,771,5,12399.0,88174Vi64099,,24552.133,2357.0048,736.564,27645.7018,,447c54f1-331d-4fb0-bc8a-e8d46c8c8d8a,2022-12-07
45070,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO5626126979,10-4020-000166,29646,277.0,4,578,578,5,13054.0,98268Vi67566,,28091.4187,2702.0418,844.388,31637.8485,,644cdd00-433b-453b-8cb7-77c5b28d5191,2022-12-07
45071,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO6235158205,10-4020-000431,29533,275.0,3,801,801,5,2337.0,28309Vi12181,,5980.0532,574.0851,179.4016,6733.5399,,c138231c-0bd5-4108-a2d4-6c10a7a274ee,2022-12-07
45072,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO6409119280,10-4020-000292,29570,277.0,4,592,592,5,242.0,28325Vi1235,,2097.2945,201.3403,62.9188,2361.5536,,0873a5d2-fb05-4f77-bc60-0faf8b296679,2022-12-07
45073,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO6728123661,10-4020-000456,29768,276.0,4,1064,1064,5,15586.0,98381Vi80542,,419.4589,40.2681,12.5838,472.3108,,8a8f34f8-8000-4e41-9331-1f52eba080be,2022-12-07
45074,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO7859191751,10-4020-000221,29992,281.0,4,1024,1024,5,7176.0,108502Vi37251,,24030.5748,2306.9054,720.9079,27058.3881,,5308a7ab-d9bb-4eab-b19a-8ebe9121bcda,2022-12-07
45075,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO8120124936,10-4020-000485,29491,275.0,5,807,807,5,8937.0,128555Vi46064,,12231.264,1173.7225,366.7883,13771.7748,,88c5153c-75c7-4584-b29e-ea79b38d3b36,2022-12-07
45076,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO9657156121,10-4020-000315,29549,279.0,5,943,943,5,7083.0,118781Vi36747,,8164.0029,783.4267,244.8208,9192.2504,,139a6872-420a-44ce-97dd-11e2ddb2bb79,2022-12-07
45077,10,2022-11-30,2022-12-12,2022-12-07,5,false,PO10179199539,10-4020-000027,29958,279.0,5,911,911,5,10163.0,128804Vi52413,,18869.4615,1823.6502,569.8907,21263.0024,,7ba04a1d-7ecd-4dcd-aee8-ac26d99f5793,2022-12-07
45266,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO19923129248,10-4020-000018,29955,275.0,3,756,756,5,13712.0,25076Vi71036,,24509.8281,2358.7032,737.0948,27605.6261,,4f589907-c455-4136-a764-4dcf88051b0b,2023-01-07
45267,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO19981117950,10-4020-000271,29611,280.0,1,862,862,5,5758.0,125077Vi30104,,3463.2998,332.4768,103.899,3899.6756,,89d111b5-cdff-4661-bc6b-8866e8bd6176,2023-01-07
45268,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO19430121252,10-4020-000318,29548,278.0,6,498,498,5,5528.0,115101Vi28965,2737.0,838.9178,80.5361,25.1675,944.6214,,dce26604-b36a-4384-b7e4-62396ccbf900,2023-01-07
45269,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO19691172522,10-4020-000353,29620,282.0,6,503,503,5,5577.0,105118Vi29202,2737.0,2024.994,194.3994,60.7498,2280.1432,,25ef0ca0-5f8d-4a22-9191-f925e5a421f9,2023-01-07
45270,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO19546173994,10-4020-000206,29888,279.0,5,930,930,5,2364.0,15143Vi12293,,28770.606,2761.343,862.9197,32394.8687,,20f79745-2b97-437c-9d95-a85da57664d8,2023-01-07
45271,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO19256135802,10-4020-000162,29555,275.0,2,772,772,5,1163.0,45170Vi5889,,5980.0532,574.0851,179.4016,6733.5399,,f8bf283a-f0e3-47aa-b341-b97ff1afd78d,2023-01-07
45272,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO19227144019,10-4020-000210,29539,278.0,6,480,480,5,181.0,55220Vi966,2737.0,3775.1301,362.4125,113.2539,4250.7965,,96d4f611-fdbf-44bb-a210-3d545fbd048d,2023-01-07
45273,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO18908136254,10-4020-000164,29717,283.0,1,851,851,5,15882.0,15244Vi82057,,40634.88,3900.9485,1219.0464,45754.8749,,5536d180-2401-449b-8153-69407cd3d638,2023-01-07
45274,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO18676111897,10-4020-000697,29818,276.0,1,1104,1104,5,14559.0,55254Vi75492,,66993.8289,6430.8154,2009.6298,75434.2741,,832191a7-1967-4b8f-be1a-9e8865faba98,2023-01-07
45275,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO18560176206,10-4020-000531,30011,279.0,5,969,969,5,4459.0,115262Vi23395,,7166.6775,688.0011,215.0003,8069.6789,,54f2d7b1-f52b-4993-bb63-59b3f1930b3e,2023-01-07
45276,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO18270194346,10-4020-000011,29813,282.0,6,446,446,5,12279.0,85315Vi63488,2737.0,6089.982,584.6383,182.6995,6857.3198,,0a037201-9cf9-48e8-a6c0-9af7eb2637a0,2023-01-07
45277,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO18386174353,10-4020-000558,29509,275.0,2,816,816,5,8979.0,125316Vi46289,,29534.9446,2835.2095,886.003,33256.1571,,a8f94061-5b5e-49ad-835f-dbef6457d26f,2023-01-07
45278,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO18415191281,10-4020-000191,29892,282.0,6,476,476,5,11072.0,75325Vi57135,2737.0,29200.519,2802.9807,875.9315,32879.4312,,dd6995fe-d03d-4871-8d30-169f22d7dbd1,2023-01-07
45279,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO17777133626,10-4020-000208,29988,282.0,6,478,478,5,9855.0,45376Vi50783,2737.0,1022.856,98.6847,30.839,1152.3797,,caebb22d-42e3-4f7c-a8e3-3afa04c2771d,2023-01-07
45280,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO17748162196,10-4020-000102,29946,278.0,6,462,462,5,14454.0,65406Vi74935,2737.0,12755.8756,1225.5308,382.9784,14364.3848,,4bebee0e-cbd7-4507-b257-e46515d76c03,2023-01-07
45281,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16849114209,10-4020-000198,29554,275.0,3,776,776,5,1684.0,55428Vi8604,,1713.7118,164.5163,51.4114,1929.6395,,9196b5c9-cf8a-436d-a716-a2a0d44614e9,2023-01-07
45282,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO17313168713,10-4020-000389,29680,282.0,6,509,509,5,18049.0,55446Vi93678,2737.0,8156.376,782.9057,244.658,9183.9397,,78fb8484-1176-4daf-b6ab-06ce77b61628,2023-01-07
45283,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16646111452,10-4020-000001,29773,280.0,1,832,832,5,19181.0,105493Vi99678,,28395.2187,2725.295,851.6547,31972.1684,,f57ab920-675e-4b1d-b43c-8ea091cf6f38,2023-01-07
45284,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16733112744,10-4020-000533,30074,282.0,6,534,534,5,18260.0,45518Vi94762,2737.0,30015.7829,2881.4668,900.4584,33797.7081,,3b279133-f05f-49b6-9004-8b2ec6d12679,2023-01-07
45285,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16791139915,10-4020-000036,29961,275.0,2,758,758,5,3274.0,35524Vi17259,,14919.3015,1433.2047,447.8765,16800.3827,,2192c665-51b1-4571-beb0-f9248b09e4fc,2023-01-07
45286,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16762133534,10-4020-000259,29865,276.0,4,1032,1032,5,11840.0,85590Vi61174,,3846.8825,369.3007,115.4065,4331.5897,,e3bc347c-3741-49d8-8de8-9db77fdbeeb3,2023-01-07
45287,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO15747122043,10-4020-000471,29764,277.0,4,611,611,5,11717.0,65607Vi60618,,419.4589,40.2681,12.5838,472.3108,,81bd0b09-89a4-4bcf-94b1-cada1bd20d3c,2023-01-07
45288,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16327170541,10-4020-000584,29749,279.0,5,974,974,5,6675.0,45613Vi34749,,29754.1861,2855.5011,892.3441,33502.0313,,9feff75b-f575-4850-a51c-a69743463310,2023-01-07
45289,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16211190433,10-4020-000099,29945,279.0,5,919,919,5,6777.0,55619Vi35295,,39750.1207,3829.7954,1196.8111,44776.7272,,74bdf57a-5f7e-4119-9a25-065826b2e996,2023-01-07
45290,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO16037118184,10-4020-000384,30056,276.0,4,1052,1052,5,1896.0,45629Vi9831,,33469.9041,3220.9473,1006.546,37697.3974,,72794711-99d8-4398-8c96-9ca39aa33b81,2023-01-07
45291,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO15689110696,10-4020-000328,30117,277.0,4,596,596,5,4623.0,45667Vi24257,,54553.8443,5236.5823,1636.432,61426.8586,,80011ba8-8ed9-4fad-9df9-bd8b64b31ba9,2023-01-07
45292,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO14993121765,10-4020-000696,29728,281.0,1,1103,1103,5,9043.0,45711Vi46703,,28.8404,2.4995,0.7811,32.121,,c4aa882d-5ba3-48ea-bbe6-2ac9a87dea03,2023-01-07
45293,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO14848112071,10-4020-000478,30042,282.0,6,523,523,5,10628.0,85770Vi54777,2737.0,1677.8356,161.0722,50.3351,1889.2429,,6991469a-2434-409e-9c42-33c71440d552,2023-01-07
45294,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO14500175708,10-4020-000650,30107,276.0,1,1099,1099,5,6386.0,45830Vi33152,,34284.3135,3301.3992,1031.6872,38617.3999,,4d0a089c-c5c6-4293-b607-e1e087143baf,2023-01-07
45295,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO14529163242,10-4020-000289,29571,280.0,1,864,864,5,14363.0,55831Vi74455,,16297.752,1564.3714,488.8661,18350.9895,,8e2ca957-2771-4298-9a4c-0a0fa689b969,2023-01-07
45296,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO14471199142,10-4020-000145,29582,280.0,1,848,848,5,1359.0,45871Vi6925,,24242.8711,2334.1531,729.4228,27306.447,,439ae393-c2f4-4c24-892f-f36a26f20445,2023-01-07
45297,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO14326121383,10-4020-000107,29675,275.0,2,765,765,5,18323.0,55887Vi95160,,6435.3883,617.7973,193.0617,7246.2473,,92990760-2e55-4c5b-b093-2a3a82bdc281,2023-01-07
45298,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO13572147445,10-4020-000527,30076,281.0,3,1076,1076,5,4941.0,75991Vi25927,,15825.9667,1519.2444,474.7639,17819.975,,31209d84-96c1-48e6-ae16-23dd798a378a,2023-01-07
45299,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO12557162961,10-4020-000240,30100,276.0,4,1028,1028,5,3368.0,66108Vi17744,,20432.4422,1960.3524,612.6101,23005.4047,,ac6c0c9a-40a4-4f89-bc76-715f78cf2aa7,2023-01-07
45300,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO12586158748,10-4020-000278,29624,279.0,5,938,30,5,204.0,116118Vi1051,,89704.272,8621.6389,2694.2622,101020.1731,,e6913dda-4cca-480d-b430-bc61d62bfcf1,2023-01-07
45301,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO12499190711,10-4020-000078,29703,276.0,4,1001,1001,5,15090.0,96185Vi78070,,26592.0719,2554.6464,798.327,29945.0453,,2eb84346-5fea-4113-94da-7f003b85729b,2023-01-07
45302,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO12006146340,10-4020-000270,30091,275.0,2,784,784,5,6005.0,66216Vi31256,,22217.4964,2132.8797,666.5249,25016.901,,a52eea7b-2d10-4fdc-82e7-f232711183f6,2023-01-07
45303,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO11919121030,10-4020-000073,29925,280.0,1,840,840,5,5343.0,56217Vi27980,,20405.6746,1957.7712,611.8035,22975.2493,,42fe21bc-79ac-44ce-aeb9-aec19309498c,2023-01-07
45304,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO11716116877,10-4020-000144,29664,275.0,2,770,770,5,7167.0,46235Vi37199,,20324.94,1951.1942,609.7482,22885.8824,,2681be4c-6a5d-45c3-8e4f-f67588125b83,2023-01-07
45305,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO11600132440,10-4020-000569,29510,282.0,6,540,540,5,14729.0,26246Vi76327,2737.0,22912.7325,2194.5119,685.785,25793.0294,,23abe5ce-75cb-46e1-8133-6b77e8e3a2eb,2023-01-07
45306,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO11020195551,10-4020-000336,29789,278.0,6,501,501,5,18316.0,126349Vi95120,2737.0,6112.4089,588.2628,183.8321,6884.5038,,8c34839f-c3f2-4802-aae7-23a683c3d8f6,2023-01-07
45307,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO10759149389,10-4020-000346,30111,277.0,3,598,598,5,569.0,56375Vi2945,,28547.1025,2739.6669,856.1459,32142.9153,,530ec29e-3d1e-449b-b33b-c60de5a1b33a,2023-01-07
45308,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO10440184078,10-4020-000623,29861,277.0,3,628,11382,5,16665.0,96432Vi86292,,85994.8887,8279.2688,2587.2715,96861.429,,d44f8405-72a8-4afb-8010-2628e360cf74,2023-01-07
45309,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO10121162847,10-4020-000684,29724,275.0,2,829,829,5,6126.0,76459Vi31838,,11924.1917,1149.0641,359.0825,13432.3383,,a44e08db-f672-4722-9dd1-160f03a112c1,2023-01-07
45310,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO10469159835,10-4020-000335,29558,282.0,6,500,500,5,11282.0,66466Vi58190,2737.0,14219.958,1365.116,426.5987,16011.6727,,e30ba8b0-89db-4063-8d79-7428a175fdc2,2023-01-07
45311,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO609120236,10-4020-000492,29757,276.0,4,1070,1070,5,13246.0,66553Vi68706,,18296.346,1756.3428,548.8571,20601.5459,,6d7e8728-30d1-4134-9032-c01762b92cbf,2023-01-07
45312,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO1276154927,10-4020-000548,29493,279.0,5,970,970,5,9478.0,106649Vi48861,,2345.7293,225.3432,70.4198,2641.4923,,94a23f0b-8f10-48ea-b6ce-d7dc71eed203,2023-01-07
45313,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO1827151513,10-4020-000317,29698,282.0,6,497,497,5,11745.0,76709Vi60734,2737.0,16789.0543,1612.668,503.9587,18905.681,,32693ac1-049f-42c8-91b7-061b73ae3f32,2023-01-07
45314,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO2088183646,10-4020-000136,29794,282.0,6,466,466,5,12102.0,96762Vi62574,2737.0,15022.5209,1446.9949,452.1859,16921.7017,,190997a5-19d2-40e7-b3a1-7200f3ad0c51,2023-01-07
45315,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO2146148184,10-4020-000354,29515,278.0,6,504,504,5,14184.0,66767Vi73564,2737.0,51062.3928,4924.1912,1538.8098,57525.3938,,9d87df74-50b5-4c44-86f2-a356eafeb7ba,2023-01-07
45316,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO2175190522,10-4020-000137,29541,282.0,6,467,467,5,13667.0,66774Vi70824,2737.0,2024.994,194.3994,60.7498,2280.1432,,5d98305c-1648-49b7-8437-9d121315030f,2023-01-07
45317,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO2523164373,10-4020-000167,29716,274.0,4,1015,1015,5,13468.0,26819Vi69778,,61206.4782,5875.6283,1836.1339,68918.2404,,1d24d44d-2106-42b3-831b-06237f8dcee7,2023-01-07
45318,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO2900174093,10-4020-000469,29742,280.0,1,884,884,5,11011.0,16882Vi56787,,29962.7965,2885.9008,901.844,33750.5413,,40be84f7-6922-482f-a1dd-236150e7ed1b,2023-01-07
45319,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO2726180495,10-4020-000029,29807,282.0,6,449,449,5,13366.0,36891Vi69277,2737.0,14234.958,1366.556,427.0487,16028.5627,,6a13bf19-05f7-4dcf-aaed-df4eddd8ce76,2023-01-07
45320,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO2958131179,10-4020-000559,30004,280.0,1,892,892,5,4842.0,46900Vi25430,,10192.77,978.2931,305.7166,11476.7797,,5be8a625-d865-4450-9723-3bc9d30db011,2023-01-07
45321,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO3799119166,10-4020-000312,29522,276.0,4,1040,1040,5,17861.0,68016Vi92659,,61189.0793,5872.4749,1835.1484,68896.7026,,08ad15d4-2cff-40c0-a4c3-fd82ee986303,2023-01-07
45322,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO3857182032,10-4020-000256,29866,277.0,4,588,588,5,8991.0,128046Vi46347,,13637.942,1309.2425,409.1383,15356.3228,,a9381bb8-20c4-4514-a16a-08930721b35d,2023-01-07
45323,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO4901118407,10-4020-000084,29705,278.0,6,459,459,5,6452.0,48137Vi33489,2737.0,38693.8697,3711.374,1159.8044,43565.0481,,816892fb-c54d-4519-bd31-2fe8a19ed8d3,2023-01-07
45324,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO4698119601,10-4020-000528,30012,276.0,4,1077,1077,5,11652.0,78154Vi60210,,838.9178,80.5361,25.1675,944.6214,,031c97ce-9276-421e-9416-a645992cca5f,2023-01-07
45325,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO4553175399,10-4020-000313,30022,276.0,4,1041,1041,5,18386.0,78157Vi95532,,2588.5058,248.4966,77.6552,2914.6576,,54fa142c-4570-4460-a8bd-e4c57a48c016,2023-01-07
45326,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO5191186622,10-4020-000364,29906,277.0,3,600,600,5,7475.0,128176Vi38744,,22730.7926,2182.1561,681.9238,25594.8725,,b2cef14c-8285-47c3-8fbd-b955740681bc,2023-01-07
45327,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO5568111446,10-4020-000422,29880,279.0,5,954,954,5,8663.0,78196Vi44710,,12176.364,1168.8245,365.2577,13710.4462,,2b555408-a001-415c-8461-838c2902ec50,2023-01-07
45328,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO5684113284,10-4020-000385,29901,276.0,4,1053,1053,5,9973.0,18281Vi51318,,63241.9485,6069.1071,1896.596,71207.6516,,b9e2ba83-b3bf-42be-b9db-c71a10274e7d,2023-01-07
45329,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO5858128971,10-4020-000566,29507,279.0,5,972,972,5,13160.0,48294Vi68229,,61800.9921,5940.8882,1856.5276,69598.4079,,3da77c75-81df-4fc1-9dd9-a037386cf5cc,2023-01-07
45330,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO5800111159,10-4020-000063,29968,279.0,5,915,915,5,13420.0,78298Vi69516,,69.0808,5.987,1.8709,76.9387,,3afd207e-68ee-4b3e-8c10-f959a5faae30,2023-01-07
45331,10,2022-12-31,2023-01-12,2023-01-07,5,false,PO6293165974,10-4020-000612,29846,279.0,5,979,979,5,10234.0,128305Vi52839,,20148.682,1933.9505,604.3595,22686.992,,1cf2da1e-8f61-4f1b-ac3a-64ae33d2faa7,2023-01-07
