businessentityid,creditcardid,modifieddate
6383,9142,2025-02-05
6384,5979,2025-03-17
6385,17320,2025-02-27
6386,1046,2024-08-20
6387,4720,2024-07-01
6388,16698,2025-01-16
6389,14362,2025-04-12
6390,7995,2024-12-09
6391,9829,2025-01-01
6392,5689,2025-04-25
6393,10630,2023-06-23
6394,12742,2025-01-09
6395,9727,2024-12-15
6396,19031,2025-03-13
6397,10182,2025-01-16
6398,8003,2025-06-20
6399,3352,2024-07-14
6400,16103,2025-01-06
6401,737,2024-11-14
6402,19235,2024-04-29
6403,14926,2023-06-18
6404,14921,2025-04-03
6405,1827,2023-05-02
6406,3012,2023-03-02
6407,16753,2025-03-08
6408,10823,2024-11-14
6409,9457,2024-07-01
6410,7035,2024-10-02
6411,997,2024-11-19
6412,10595,2025-04-24
6413,3801,2025-02-09
6414,9568,2024-10-16
6415,8362,2025-02-13
6416,10498,2022-11-17
6417,19023,2025-05-24
6418,14275,2023-01-02
6419,7451,2025-02-09
6420,716,2024-08-03
6421,10388,2025-05-27
6422,13777,2024-08-12
6423,14241,2024-09-18
6424,8025,2025-03-01
6425,17929,2023-06-11
6426,5319,2025-04-05
6427,5490,2025-05-27
6428,6150,2024-11-14
6429,14886,2025-01-01
6430,13987,2024-08-21
6431,14256,2025-03-16
6432,18181,2025-05-28
6433,2309,2024-03-24
6434,12374,2025-04-18
6435,2245,2024-01-07
6436,16716,2022-06-28
6437,3838,2024-12-19
6438,3195,2024-11-16
6439,5800,2024-08-14
6440,16823,2022-09-14
6441,12844,2024-11-17
6442,18967,2024-12-21
6443,12738,2025-01-01
6444,5968,2024-03-13
6445,18002,2025-04-22
6446,6612,2025-01-05
6447,14443,2025-05-05
6448,16012,2024-08-27
6449,17067,2025-04-03
6450,15979,2024-04-11
6451,2039,2024-12-26
6452,16747,2023-07-01
6453,12193,2024-11-23
6454,11485,2024-07-24
6455,1855,2025-01-12
6456,13027,2023-05-04
6457,4866,2024-08-13
6458,14113,2025-04-01
6459,18672,2024-12-15
6460,4416,2025-02-01
6461,18277,2025-02-09
6462,17555,2024-08-12
6463,967,2022-10-12
6464,16891,2022-06-24
6465,8963,2024-10-21
6466,15969,2024-05-04
6467,11407,2022-06-06
6468,17596,2024-10-25
6469,17069,2024-04-17
6470,12819,2022-11-07
6471,13565,2024-03-03
6472,6763,2024-11-01
6473,2462,2023-03-08
6474,16865,2022-10-26
6475,17617,2023-04-19
6476,11183,2025-05-14
6477,335,2024-08-03
6478,17519,2023-03-14
6479,9663,2024-08-22
6480,8562,2025-01-13
6481,6929,2025-01-11
6482,644,2023-02-23
6483,13795,2023-06-22
6484,10208,2024-10-04
6485,7661,2022-12-17
6486,5653,2025-06-28
6487,9178,2024-10-26
6488,16781,2025-05-29
6489,9109,2024-05-06
6490,6754,2024-10-21
6491,9720,2022-07-23
6492,16417,2024-04-26
6493,11136,2025-02-12
6494,7849,2025-03-26
6495,15320,2024-08-22
6496,8155,2025-04-10
6497,612,2024-07-10
6498,8231,2025-01-21
6499,11889,2025-05-06
6500,12206,2025-01-27
6501,1779,2024-08-01
6502,16314,2023-11-03
6503,1333,2023-06-01
6504,4046,2023-01-27
6505,11121,2022-12-19
6506,16755,2025-03-19
6507,1921,2023-03-21
6508,4449,2024-07-06
6509,17304,2024-01-16
6510,16260,2023-04-02
6511,12199,2025-05-23
6512,14272,2024-07-20
6513,12549,2022-12-17
6514,13959,2025-01-16
6515,15415,2025-02-01
6516,18543,2024-10-06
6517,13636,2025-04-27
6518,13580,2025-04-26
6519,11912,2024-08-21
6520,7927,2025-01-13
6521,5640,2024-11-17
6522,2069,2024-06-21
6523,8652,2024-04-04
6524,8427,2023-09-17
6525,7255,2025-02-03
6526,56,2025-03-15
6527,1790,2024-12-11
6528,3089,2025-02-12
6529,12637,2023-02-22
6530,3248,2024-10-05
6531,7801,2025-01-01
6532,16131,2024-07-07
6533,17427,2024-10-26
6534,1017,2022-10-27
6535,12622,2024-10-25
6536,18830,2023-05-26
6537,3843,2024-07-17
6538,3064,2024-05-20
6539,935,2025-04-13
6540,15128,2025-02-02
6541,2955,2024-12-04
6542,2338,2025-02-06
6543,14510,2024-12-25
6544,17189,2023-08-19
6545,3993,2024-12-23
6546,16338,2025-03-03
6547,4062,2024-11-18
6548,12108,2024-02-14
6549,12654,2024-09-09
6550,7510,2024-07-06
6551,16998,2025-03-15
6552,3412,2022-09-18
6553,12175,2024-10-31
6554,4848,2024-05-09
6555,6216,2024-09-26
6556,10820,2024-04-25
6557,3100,2024-09-30
6558,17117,2022-10-09
6559,12372,2024-09-14
6560,11249,2024-10-08
6561,7516,2024-11-06
6562,2903,2025-03-22
6563,6910,2022-08-07
6564,7715,2024-07-30
6565,5959,2025-01-21
6566,9086,2023-10-17
6567,7498,2025-02-17
6568,15183,2024-08-31
6569,11291,2024-11-29
6570,9073,2024-06-19
6571,9298,2025-05-15
6572,17088,2025-04-15
6573,800,2022-12-08
6574,12470,2025-05-09
6575,2894,2024-07-15
6576,11734,2022-10-25
6577,837,2023-03-08
6578,3792,2023-09-11
6579,1542,2025-03-05
6580,7342,2025-01-23
6581,4912,2024-02-26
6582,11711,2025-04-28
6583,4698,2023-11-23
6584,10649,2025-05-21
6585,8354,2025-05-25
6586,1625,2024-09-03
6587,154,2024-09-15
6588,15472,2023-09-11
6589,2726,2022-07-29
6590,3783,2024-04-03
6591,12587,2025-04-12
6592,17293,2025-04-13
6593,14087,2024-04-05
6594,18121,2024-08-28
6595,6674,2024-12-19
6596,14164,2023-10-28
6597,9533,2024-10-02
6598,3066,2024-09-16
6599,18737,2023-11-26
6600,4540,2025-06-26
6601,11885,2024-08-28
6602,6137,2025-04-16
6603,11795,2024-07-24
6604,7131,2024-08-20
6605,3926,2024-08-29
6606,1843,2024-11-03
6607,16714,2024-01-06
6608,6141,2025-02-20
6609,2073,2025-01-15
6610,3118,2025-01-10
6611,7908,2024-04-16
6612,13439,2024-09-19
6613,5516,2025-03-26
6614,11408,2023-05-10
6615,14677,2025-06-27
6616,9878,2023-02-22
6617,12447,2023-07-13
6618,96,2025-01-16
6619,4325,2023-12-29
6620,6099,2024-05-31
6621,15519,2023-05-10
6622,7647,2023-01-14
6623,12668,2025-02-11
6624,7211,2025-03-29
6625,17354,2023-09-02
6626,15006,2024-11-23
6627,10298,2023-02-12
6628,2162,2024-07-15
6629,1386,2024-09-04
6630,4539,2023-01-12
6631,7626,2025-05-12
6632,17792,2024-11-21
6633,12969,2023-08-22
6634,10402,2024-07-26
6635,18617,2022-09-11
6636,8922,2025-01-27
6637,219,2025-01-06
6638,11223,2024-04-30
6639,12797,2024-09-27
6640,11055,2023-08-23
6641,10118,2024-11-26
6642,8295,2025-03-26
6643,9804,2025-03-25
6644,473,2024-09-05
6645,17630,2025-06-15
6646,17661,2024-11-27
6647,14155,2024-10-11
6648,9892,2023-04-20
6649,18255,2025-06-24
6650,18979,2024-05-14
6651,15812,2024-12-05
6652,8975,2025-03-04
6653,346,2024-12-23
6654,11613,2024-07-03
6655,4787,2024-04-01
6656,13705,2024-11-12
6657,11237,2024-07-30
6658,10953,2024-04-08
6659,12887,2024-07-21
6660,14495,2025-05-14
6661,3901,2025-04-29
6662,1438,2024-08-05
6663,10179,2025-06-24
6664,6583,2024-08-19
6665,12834,2022-06-17
6666,18215,2023-03-03
6667,15986,2024-08-17
6668,9247,2025-01-26
6669,4557,2022-11-19
6670,477,2025-04-06
6671,4685,2024-08-19
6672,8271,2024-09-11
6673,18448,2025-02-19
6674,7658,2025-04-13
6675,14433,2024-12-09
6676,584,2024-07-07
6677,1857,2025-06-07
6678,16413,2024-07-24
6679,11366,2023-02-16
6680,10621,2024-09-23
6681,2035,2023-07-20
6682,2159,2025-05-26
6683,8123,2025-03-14
6684,2046,2023-08-25
6685,15911,2024-02-27
6686,4704,2024-10-28
6687,15885,2024-05-13
6688,15029,2024-12-07
6689,17877,2025-03-08
6690,5810,2023-09-04
6691,9805,2024-01-24
6692,5445,2024-08-11
6693,9770,2025-04-04
6694,2418,2024-11-22
6695,3683,2023-12-21
6696,6656,2024-07-13
6697,2119,2024-01-25
6698,9390,2024-09-05
6699,15958,2023-03-17
6700,1263,2024-07-06
6701,13112,2024-12-08
6702,10973,2025-02-05
6703,13804,2024-09-12
6704,2115,2024-09-03
6705,2699,2024-07-28
6706,4733,2025-04-19
6707,930,2025-06-07
6708,12203,2023-11-10
6709,10663,2025-06-28
6710,7926,2025-05-27
6711,7198,2025-03-02
6712,4859,2025-01-19
6713,18754,2025-04-11
6714,17886,2025-05-21
6715,18715,2024-09-18
6716,10901,2025-04-03
6717,15000,2025-03-30
6718,17105,2024-09-06
6719,1976,2022-08-12
6720,9371,2024-06-26
6721,4554,2024-09-20
6722,18834,2024-07-26
6723,18110,2025-04-07
6724,15686,2024-10-05
6725,5463,2024-03-21
6726,5978,2024-06-30
6727,17940,2024-10-27
6728,6692,2023-11-22
6729,18563,2025-01-04
6730,11377,2024-11-13
6731,6493,2024-09-24
6732,18056,2024-11-25
6733,18211,2024-09-09
6734,18923,2024-07-20
6735,1663,2024-12-15
6736,18317,2024-11-13
6737,2116,2025-05-12
6738,1995,2024-11-17
6739,1243,2024-08-05
6740,12911,2024-10-26
6741,3805,2023-06-22
6742,3139,2025-05-15
6743,15439,2023-09-27
6744,696,2025-02-10
6745,1354,2025-05-17
6746,7556,2023-03-05
6747,8089,2024-11-03
6748,6434,2025-06-21
6749,13929,2023-03-28
6750,7292,2023-10-24
6751,17112,2024-03-26
6752,3543,2023-12-12
6753,6427,2025-03-13
6754,4675,2024-08-11
6755,9599,2023-05-20
6756,8970,2024-06-07
6757,6996,2024-10-15
6758,9449,2025-03-24
6759,5383,2024-12-09
6760,8770,2024-03-02
6761,9814,2024-10-07
6762,2385,2023-02-02
6763,16451,2024-04-03
6764,18803,2023-04-25
6765,8057,2025-03-21
6766,16293,2023-01-18
6767,17410,2025-03-02
6768,62,2025-03-31
6769,13754,2025-02-01
6770,17167,2024-01-23
6771,17821,2024-12-31
6772,6345,2025-05-03
6773,16757,2025-04-23
6774,17157,2024-08-12
6775,6039,2024-07-29
6776,16675,2025-01-12
6777,16778,2025-02-02
6778,7517,2024-12-19
6779,6387,2024-07-13
6780,4207,2024-09-17
6781,18299,2024-11-11
6782,15975,2024-08-13
6783,18013,2023-09-11
6784,7651,2022-12-03
6785,11584,2025-04-05
6786,16680,2025-02-09
6787,16771,2024-08-05
6788,7008,2022-11-21
6789,12493,2025-03-04
6790,10286,2024-10-04
6791,891,2023-12-22
6792,8635,2023-01-09
6793,11340,2023-03-26
6794,13709,2024-04-07
6795,6319,2025-05-14
6796,5836,2023-10-26
6797,7186,2024-05-12
6798,14617,2025-03-18
6799,7906,2022-11-09
6800,16960,2025-04-17
6801,9980,2025-05-10
6802,14031,2022-08-26
6803,14041,2022-09-28
6804,5304,2025-02-04
6805,729,2022-09-08
6806,5223,2025-01-18
6807,12444,2024-10-18
6808,9587,2022-09-20
6809,9482,2024-09-02
6810,7613,2023-03-26
6811,6470,2025-01-01
6812,3247,2024-01-17
6813,18601,2024-11-25
6814,673,2024-04-24
6815,2514,2024-04-22
6816,18308,2023-07-12
6817,6247,2022-08-19
6818,16542,2025-06-09
6819,4549,2022-11-26
6820,337,2024-03-05
6821,13608,2025-04-21
6822,16640,2024-08-16
6823,718,2024-08-07
6824,7837,2025-01-24
6825,9984,2025-03-06
6826,16415,2023-08-09
6827,2389,2025-03-07
6828,7291,2024-12-01
6829,8958,2025-01-20
6830,6985,2024-01-17
6831,5012,2023-07-30
6832,2842,2024-09-07
6833,18579,2024-07-06
6834,14479,2025-05-01
6835,16129,2025-03-13
6836,7826,2024-11-17
6837,9128,2025-03-23
6838,10089,2025-04-23
6839,6106,2024-10-25
6840,12380,2025-03-07
6841,4387,2023-06-01
6842,10044,2025-03-17
6843,17607,2025-03-29
6844,7282,2025-02-07
6845,11138,2024-10-04
6846,15774,2023-10-26
6847,10563,2024-11-27
6848,1831,2024-10-19
6849,9927,2025-03-18
6850,16123,2022-10-25
6851,14958,2025-04-14
6852,2904,2025-03-26
6853,16853,2025-02-12
6854,6588,2024-07-18
6855,5167,2025-05-24
6856,6109,2025-02-07
6857,254,2025-03-16
6858,6062,2024-07-01
6859,2397,2024-02-14
6860,18821,2024-11-26
6861,12709,2023-07-24
6862,8379,2024-07-06
6863,8746,2022-11-28
6864,10264,2024-10-13
6865,15293,2025-01-09
6866,9489,2023-11-17
6867,1317,2024-11-25
6868,14629,2025-01-21
6869,12288,2025-02-22
6870,15417,2025-06-13
6871,17309,2025-06-24
6872,15659,2024-09-23
6873,4108,2023-07-18
6874,15457,2024-08-12
6875,10637,2025-01-11
6876,15672,2024-05-17
6877,4731,2023-06-12
6878,7201,2025-01-26
6879,7847,2025-04-19
6880,12070,2022-06-25
6881,15859,2024-11-08
6882,15077,2025-04-22
6883,12100,2024-09-20
6884,3097,2025-03-10
6885,18891,2023-05-22
6886,14517,2024-07-01
6887,4381,2024-08-22
6888,721,2025-04-13
6889,17257,2024-02-05
6890,2320,2025-01-05
6891,13454,2025-03-23
6892,18381,2024-11-22
6893,11239,2025-06-15
6894,4509,2024-01-16
6895,18025,2024-12-08
6896,2779,2023-03-25
6897,7276,2025-04-29
6898,15329,2025-05-11
6899,18608,2024-08-25
6900,4572,2025-01-10
6901,17119,2025-04-11
6902,10932,2025-01-02
6903,9915,2023-09-23
6904,11042,2025-03-25
6905,13030,2023-04-26
6906,13925,2024-10-12
6907,16355,2025-02-27
6908,2851,2025-02-28
6909,10975,2024-12-06
6910,10560,2025-04-29
6911,4349,2025-01-11
6912,1729,2025-03-30
6913,19079,2025-06-26
6914,13264,2022-11-21
6915,819,2024-09-17
6916,11139,2024-12-12
6917,11283,2025-05-08
6918,5682,2024-09-20
6919,7314,2024-09-05
6920,2398,2022-10-05
6921,16288,2024-07-05
6922,8204,2025-04-05
6923,18966,2024-07-27
6924,15511,2024-12-15
6925,4110,2025-06-26
6926,10967,2024-11-01
6927,15624,2023-01-09
6928,18518,2024-09-05
6929,6876,2022-12-23
6930,6670,2025-05-10
6931,7273,2024-11-15
6932,15966,2024-11-24
6933,8236,2025-04-11
6934,13049,2025-02-09
6935,15636,2024-12-20
6936,10321,2025-01-22
6937,4905,2024-03-19
6938,18133,2025-05-24
6939,13805,2024-09-05
6940,2994,2025-05-14
6941,15640,2023-08-13
6942,15776,2024-03-28
6943,602,2024-01-18
6944,2253,2025-05-27
6945,8863,2023-11-12
6946,15557,2022-06-22
6947,15437,2025-01-08
6948,14034,2025-03-20
6949,3665,2023-12-01
6950,10416,2025-02-23
6951,18804,2025-04-17
6952,12822,2024-11-06
6953,7639,2022-06-26
6954,14101,2024-12-26
6955,14451,2025-01-06
6956,788,2024-10-16
6957,2237,2024-11-12
6958,13198,2025-06-18
6959,81,2023-11-17
6960,14289,2023-01-01
6961,9690,2024-12-17
6962,18812,2025-04-05
6963,4508,2023-10-07
6964,12086,2025-02-25
6965,9463,2025-05-17
6966,16414,2025-03-09
6967,12909,2024-11-21
6968,323,2024-08-17
6969,6021,2024-07-09
6970,15386,2024-08-25
6971,183,2024-12-31
6972,1972,2025-04-10
6973,14366,2022-10-27
6974,12361,2024-07-24
6975,16227,2024-11-13
6976,9464,2024-11-15
6977,1004,2024-09-25
6978,14042,2025-01-04
6979,10704,2024-09-12
6980,12434,2024-08-15
6981,19038,2024-11-01
6982,17495,2024-07-27
6983,1670,2024-10-01
6984,16127,2024-08-26
6985,6825,2024-07-25
6986,343,2024-12-02
6987,16329,2024-06-30
6988,7405,2024-09-11
6989,10494,2024-10-12
6990,1988,2022-05-31
6991,17781,2024-06-30
6992,14395,2024-12-06
6993,15378,2024-08-06
6994,10886,2025-04-30
6995,7294,2023-09-19
6996,13169,2024-02-01
6997,9603,2024-05-06
6998,8686,2025-03-08
6999,14320,2024-11-15
7000,4407,2024-11-23
7001,8902,2023-10-08
7002,15398,2023-01-18
7003,13125,2025-03-02
7004,6705,2024-09-18
7005,11499,2024-11-26
7006,6240,2024-09-18
7007,7300,2025-05-25
7008,13072,2024-10-01
7009,9803,2025-03-12
7010,6629,2023-11-22
7011,7874,2025-05-06
7012,1858,2025-06-20
7013,4106,2025-04-04
7014,1780,2024-09-15
7015,291,2023-05-11
7016,16663,2025-01-26
7017,11159,2024-11-09
7018,6129,2025-01-31
7019,9047,2023-05-01
7020,10776,2025-04-26
7021,11956,2025-01-08
7022,2305,2024-05-14
7023,5792,2023-06-08
7024,14401,2024-12-02
7025,8800,2023-01-09
7026,14431,2023-07-23
7027,2550,2023-02-22
7028,2838,2024-04-21
7029,10167,2024-08-14
7030,4295,2024-07-11
7031,3826,2023-02-03
7032,8951,2024-12-27
7033,5782,2025-06-18
7034,2185,2024-10-31
7035,6369,2024-05-28
7036,10331,2024-11-04
7037,10534,2024-06-01
7038,8054,2025-02-07
7039,176,2024-11-26
7040,17757,2024-11-08
7041,11469,2025-02-24
7042,12400,2024-01-03
7043,8915,2024-07-24
7044,12872,2024-12-12
7045,11149,2023-07-15
7046,10557,2024-03-09
7047,16248,2025-05-04
7048,2674,2022-12-24
7049,12717,2024-07-08
7050,2905,2025-04-02
7051,13473,2024-03-11
7052,8143,2024-09-23
7053,15334,2024-05-11
7054,18985,2024-11-20
7055,14390,2023-01-04
7056,18629,2024-03-11
7057,7881,2025-02-28
7058,4916,2024-02-01
7059,19074,2024-09-22
7060,2156,2025-05-12
7061,6645,2024-11-24
7062,12760,2023-10-10
7063,18730,2025-02-17
7064,10947,2025-05-13
7065,7501,2022-12-16
7066,11953,2024-12-21
7067,16406,2025-02-12
7068,7471,2024-10-08
7069,13860,2024-07-16
7070,12936,2024-09-18
7071,4677,2023-08-01
7072,14857,2025-02-01
7073,8348,2025-02-07
7074,8763,2024-12-21
7075,3631,2024-10-29
7076,16677,2025-01-07
7077,2703,2022-08-18
7078,10043,2025-05-14
7079,2048,2024-09-28
7080,444,2025-06-11
7081,4881,2025-06-24
7082,3,2025-01-13
7083,12424,2024-07-12
7084,690,2025-04-16
7085,9798,2023-01-12
7086,4104,2025-01-25
7087,13368,2025-05-21
7088,11078,2024-10-02
7089,16182,2024-07-26
7090,8053,2022-12-30
7091,7308,2024-05-20
7092,4102,2025-02-14
7093,7616,2024-10-25
7094,11857,2024-08-05
7095,9112,2023-03-11
7096,11825,2024-10-22
7097,10937,2024-07-19
7098,9241,2025-03-02
7099,11032,2024-09-23
7100,9978,2024-04-12
7101,14086,2024-06-17
7102,15602,2023-09-13
7103,9450,2025-01-25
7104,17395,2024-10-02
7105,392,2024-10-28
7106,15896,2023-12-03
7107,10921,2023-08-17
7108,18032,2024-12-12
7109,19171,2025-06-02
7110,783,2025-02-07
7111,13085,2025-06-06
7112,5728,2022-12-02
7113,974,2023-04-17
7114,16988,2024-05-05
7115,7614,2023-02-07
7116,4251,2025-05-12
7117,578,2023-06-11
7118,18866,2025-01-28
7119,5654,2024-11-24
7120,7137,2024-09-25
7121,11875,2025-03-22
7122,5845,2024-08-11
7123,19165,2024-05-13
7124,11483,2024-07-17
7125,1681,2024-10-30
7126,15165,2022-08-09
7127,15731,2025-01-12
7128,9871,2023-02-13
7129,3509,2025-06-12
7130,10161,2024-11-17
7131,14970,2023-06-23
7132,10279,2024-08-01
7133,3294,2024-09-16
7134,14470,2024-09-08
7135,8648,2024-10-26
7136,18721,2025-03-01
7137,15368,2023-10-10
7138,2931,2024-10-14
7139,13345,2024-10-27
7140,4620,2024-11-12
7141,5372,2022-08-29
7142,16240,2025-04-10
7143,13713,2024-12-04
7144,13172,2024-09-23
7145,6221,2024-09-14
7146,12217,2025-01-03
7147,7153,2025-03-07
7148,18819,2024-06-25
7149,12158,2025-05-14
7150,18867,2024-10-05
7151,1159,2024-07-25
7152,9401,2025-05-29
7153,3281,2025-04-09
7154,1926,2023-11-01
7155,11034,2024-09-19
7156,12596,2024-11-20
7157,481,2023-08-13
7158,5789,2024-07-24
7159,5159,2024-07-15
7160,16243,2023-09-04
7161,9392,2024-11-24
7162,9582,2024-11-20
7163,8848,2025-02-01
7164,13220,2024-04-15
7165,14125,2025-05-14
7166,4025,2022-11-09
7167,11386,2025-05-20
7168,17655,2024-12-08
7169,16313,2025-01-25
7170,17518,2023-12-13
7171,4083,2024-12-06
7172,9103,2024-11-15
7173,4372,2023-06-05
7174,15757,2025-04-25
7175,311,2024-08-15
7176,11749,2023-12-10
7177,7241,2024-11-08
7178,14696,2023-07-15
7179,75,2024-09-21
7180,16297,2024-07-11
7181,13991,2024-05-06
7182,8264,2024-06-30
7183,675,2024-09-03
7184,5817,2024-09-30
7185,15166,2023-11-09
7186,8188,2025-01-05
7187,8477,2025-06-26
7188,5418,2024-08-07
7189,9445,2024-08-04
7190,5244,2024-07-27
7191,16529,2025-01-29
7192,14522,2025-01-12
7193,2461,2025-04-08
7194,15841,2022-11-05
7195,4146,2024-10-01
7196,17576,2024-08-31
7197,17828,2024-11-10
7198,4292,2025-01-09
7199,9783,2023-02-16
7200,9612,2023-02-11
7201,1367,2025-02-07
7202,16056,2023-01-20
7203,9524,2025-04-07
7204,2043,2023-11-22
7205,18598,2023-03-19
7206,9253,2024-12-20
7207,1413,2024-03-24
7208,1500,2022-06-22
7209,4127,2025-01-04
7210,9728,2024-12-26
7211,15066,2024-12-26
7212,17947,2025-05-25
7213,1211,2024-10-02
7214,3042,2025-02-03
7215,14421,2024-10-02
7216,10537,2023-07-18
7217,15965,2024-10-23
7218,5156,2025-01-11
7219,18046,2024-05-11
7220,3699,2023-10-10
7221,12636,2024-02-18
7222,6655,2024-11-25
7223,12358,2024-12-02
7224,10272,2024-10-15
7225,8014,2024-11-23
7226,9346,2022-11-01
7227,1075,2023-04-10
7228,13490,2024-12-19
7229,16175,2025-02-20
7230,15593,2024-07-18
7231,12840,2025-04-01
7232,7792,2022-10-09
7233,3752,2024-11-04
7234,17911,2022-11-25
7235,10964,2024-05-04
7236,12968,2023-01-05
7237,5497,2024-12-05
7238,8505,2023-05-18
7239,18268,2024-07-02
7240,6201,2025-06-22
7241,12569,2023-02-15
7242,1761,2025-05-24
7243,10226,2024-12-16
7244,13716,2024-03-31
7245,13365,2024-03-30
7246,12982,2024-09-23
7247,5183,2024-09-08
7248,14832,2025-03-12
7249,2135,2024-08-11
7250,4818,2023-08-03
7251,14700,2024-10-24
7252,10636,2024-09-13
7253,18639,2025-05-03
7254,13134,2024-10-20
7255,1006,2025-01-18
7256,9799,2024-06-01
7257,9363,2024-07-24
7258,9427,2023-12-04
7259,15618,2022-11-18
7260,16246,2022-11-06
7261,8106,2024-09-11
7262,12059,2022-07-18
7263,12130,2024-07-19
7264,7702,2024-07-06
7265,3720,2025-05-06
7266,16391,2024-11-12
7267,6974,2024-01-13
7268,15406,2024-08-12
7269,9785,2024-11-02
7270,9344,2023-05-12
7271,9282,2025-04-13
7272,1762,2025-01-02
7273,14580,2023-02-21
7274,1351,2025-04-03
7275,1774,2023-11-26
7276,5239,2024-03-07
7277,7746,2025-04-04
7278,11863,2024-11-02
7279,12422,2023-03-15
7280,2744,2024-12-10
7281,15728,2025-01-29
7282,7264,2025-01-01
7283,4648,2024-07-21
7284,17052,2024-11-24
7285,9944,2025-06-06
7286,9769,2025-01-19
7287,18794,2024-07-13
7288,15934,2025-04-11
7289,18587,2023-03-10
7290,16511,2024-10-07
7291,14378,2025-05-13
7292,2617,2024-07-23
7293,1178,2022-06-29
7294,12258,2024-12-29
7295,8843,2024-10-28
7296,8725,2024-11-14
7297,18426,2025-02-28
7298,9136,2024-05-26
7299,3991,2024-03-29
7300,6563,2024-07-28
7301,2375,2025-04-17
7302,7536,2025-02-16
7303,4764,2024-12-05
7304,11665,2025-05-08
7305,16671,2024-06-30
7306,16268,2024-04-16
7307,5587,2025-03-18
7308,4084,2025-05-16
7309,6036,2024-08-02
7310,7196,2023-11-16
7311,17403,2022-08-21
7312,10489,2024-08-06
7313,17479,2025-02-14
7314,11406,2024-11-19
7315,15817,2023-10-05
7316,15392,2024-07-27
7317,7056,2024-07-23
7318,6360,2024-01-13
7319,15015,2024-11-05
7320,1844,2024-05-18
7321,2513,2024-08-26
7322,1106,2023-02-14
7323,16254,2025-04-29
7324,11515,2023-12-11
7325,328,2025-02-28
7326,9404,2025-06-22
7327,3489,2023-08-23
7328,18088,2025-06-13
7329,4393,2025-04-24
7330,3010,2023-07-26
7331,667,2025-01-08
7332,9588,2025-01-15
7333,7311,2022-10-25
7334,14668,2024-09-29
7335,15435,2025-06-27
7336,3187,2025-04-25
7337,14399,2023-07-12
7338,16808,2023-09-26
7339,479,2024-12-16
7340,18186,2024-08-04
7341,10077,2024-12-03
7342,9523,2024-09-15
7343,4970,2024-07-11
7344,17274,2024-12-09
7345,7251,2025-05-18
7346,2032,2024-09-15
7347,7229,2024-07-25
7348,16799,2023-09-17
7349,467,2025-04-03
7350,3996,2024-12-21
7351,11064,2024-08-17
7352,3520,2024-08-13
7353,1873,2024-09-17
7354,11250,2024-11-12
7355,4584,2025-04-06
7356,6403,2025-02-27
7357,12655,2025-01-20
7358,10818,2023-11-27
7359,13258,2024-10-04
7360,8122,2025-03-29
7361,3709,2022-10-11
7362,13039,2025-01-11
7363,9885,2024-07-13
7364,708,2025-03-17
7365,10539,2022-11-05
7366,7968,2025-05-12
7367,5885,2024-10-28
7368,3755,2022-08-12
7369,1675,2023-01-25
7370,16839,2025-03-20
7371,14724,2023-02-09
7372,217,2023-08-04
7373,14760,2025-02-02
7374,13484,2024-11-30
7375,10723,2025-05-12
7376,5052,2024-11-08
7377,8966,2025-01-13
7378,18935,2024-06-02
7379,11085,2025-05-10
7380,9406,2024-07-10
7381,17053,2023-02-28
7382,1146,2024-04-03
7383,9818,2025-05-24
7384,10280,2025-02-03
7385,18537,2025-04-24
7386,17892,2025-05-27
7387,9621,2025-01-14
7388,8267,2024-09-28
7389,6110,2025-01-03
7390,13422,2024-08-02
7391,11374,2022-11-10
7392,4224,2024-12-18
7393,12729,2023-12-02
7394,9930,2022-06-18
7395,14476,2025-02-01
7396,8165,2025-05-20
7397,6254,2023-07-27
7398,2783,2024-10-05
7399,560,2022-07-26
7400,1536,2024-02-29
7401,2150,2024-12-23
7402,962,2024-11-01
7403,15647,2025-04-06
7404,18245,2022-09-20
7405,4323,2024-07-19
7406,16070,2025-03-05
7407,822,2022-12-21
7408,16775,2025-05-20
7409,8516,2025-02-05
7410,7806,2023-03-15
7411,8962,2025-05-20
7412,9302,2024-05-26
7413,16648,2025-01-13
7414,14406,2023-06-25
7415,2306,2024-08-21
7416,632,2025-04-13
7417,478,2024-09-03
7418,5825,2024-07-26
7419,1818,2024-12-20
7420,15589,2024-09-26
7421,15222,2023-06-01
7422,18041,2023-05-22
7423,10109,2024-10-30
7424,558,2023-05-25
7425,5725,2024-07-29
7426,12301,2025-03-06
7427,15290,2025-04-30
7428,8514,2025-05-04
7429,2341,2025-04-14
7430,13336,2024-06-18
7431,11154,2025-05-06
7432,11029,2024-04-25
7433,9560,2024-08-30
7434,9393,2025-06-22
7435,18568,2025-05-18
7436,8912,2025-05-07
7437,11273,2024-09-07
7438,6843,2025-01-03
7439,8429,2024-04-20
7440,12716,2024-07-17
7441,3702,2024-11-28
7442,17384,2024-10-31
7443,3753,2024-12-24
7444,5941,2024-08-08
7445,18424,2024-12-26
7446,9452,2025-04-02
7447,13124,2024-11-23
7448,9749,2025-04-11
7449,2199,2024-09-20
7450,12526,2025-02-05
7451,8154,2023-04-07
7452,1018,2023-12-15
7453,18081,2024-12-05
7454,13963,2024-10-20
7455,353,2024-12-30
7456,18336,2025-05-29
7457,10677,2023-07-21
7458,4419,2025-05-06
7459,5911,2025-05-13
7460,3711,2024-07-01
7461,2856,2024-12-30
7462,13244,2024-08-24
