salesorderid,salesreasonid,modifieddate
47229,2,2023-07-18
47231,2,2023-07-18
47237,2,2023-07-19
47238,2,2023-07-19
47241,2,2023-07-19
47242,2,2023-07-19
47252,6,2023-07-20
47253,6,2023-07-20
47255,2,2023-07-21
47257,2,2023-07-21
47261,2,2023-07-21
47263,2,2023-07-21
47264,2,2023-07-22
47267,6,2023-07-22
47269,2,2023-07-23
47270,2,2023-07-23
47273,2,2023-07-23
47274,2,2023-07-23
47279,2,2023-07-23
47280,6,2023-07-24
47284,2,2023-07-24
47289,2,2023-07-24
47290,2,2023-07-24
47299,2,2023-07-25
47301,2,2023-07-25
47302,2,2023-07-25
47305,2,2023-07-26
47306,2,2023-07-26
47310,6,2023-07-26
47314,2,2023-07-26
47316,2,2023-07-27
47319,2,2023-07-27
47323,2,2023-07-28
47328,2,2023-07-28
47330,2,2023-07-29
47332,6,2023-07-29
47333,2,2023-07-29
47334,2,2023-07-29
47335,6,2023-07-29
47337,6,2023-07-30
47340,2,2023-07-30
47341,2,2023-07-30
47342,2,2023-07-30
47344,6,2023-07-30
47345,6,2023-07-30
47346,2,2023-07-30
47461,6,2023-07-31
47464,2,2023-08-01
47470,2,2023-08-02
47471,2,2023-08-02
47473,2,2023-08-02
47475,2,2023-08-02
47476,6,2023-08-02
47477,6,2023-08-03
47482,2,2023-08-03
47489,2,2023-08-05
47491,2,2023-08-06
47493,2,2023-08-07
47495,2,2023-08-07
47497,2,2023-08-07
47500,2,2023-08-07
47501,2,2023-08-07
47504,2,2023-08-08
47505,6,2023-08-08
47506,6,2023-08-08
47508,2,2023-08-08
47509,2,2023-08-08
47510,6,2023-08-08
47513,2,2023-08-09
47515,6,2023-08-09
47516,2,2023-08-09
47521,2,2023-08-10
47524,2,2023-08-10
47526,6,2023-08-10
47527,2,2023-08-10
47528,6,2023-08-11
47540,2,2023-08-12
47544,2,2023-08-12
47545,6,2023-08-12
47546,2,2023-08-13
47552,2,2023-08-13
47553,6,2023-08-13
47554,2,2023-08-13
47555,2,2023-08-13
47558,2,2023-08-14
47559,2,2023-08-14
47563,2,2023-08-15
47564,6,2023-08-15
47570,6,2023-08-17
47572,2,2023-08-17
47573,2,2023-08-17
47575,2,2023-08-17
47577,2,2023-08-17
47578,6,2023-08-17
47590,6,2023-08-19
47591,2,2023-08-19
47595,2,2023-08-20
47598,2,2023-08-20
47599,2,2023-08-20
47608,6,2023-08-22
47612,2,2023-08-23
47619,6,2023-08-23
47620,6,2023-08-23
47623,2,2023-08-24
47627,2,2023-08-25
47628,2,2023-08-25
47629,2,2023-08-25
47630,6,2023-08-25
47631,6,2023-08-25
47634,6,2023-08-25
47635,6,2023-08-25
47638,2,2023-08-26
47640,6,2023-08-27
47646,6,2023-08-28
47647,2,2023-08-28
47648,6,2023-08-28
47650,2,2023-08-29
47656,2,2023-08-29
47731,2,2023-08-30
47732,2,2023-08-30
47736,2,2023-08-30
47737,6,2023-08-30
47743,2,2023-08-31
47744,2,2023-08-31
47745,2,2023-08-31
47746,2,2023-08-31
47748,6,2023-09-01
47750,2,2023-09-01
47751,2,2023-09-01
47753,2,2023-09-01
47756,6,2023-09-02
47762,6,2023-09-03
47764,6,2023-09-04
47765,2,2023-09-04
47766,2,2023-09-04
47769,2,2023-09-04
47772,2,2023-09-05
47775,2,2023-09-05
47776,6,2023-09-05
47778,6,2023-09-06
47784,6,2023-09-06
47785,6,2023-09-07
47786,2,2023-09-07
47787,2,2023-09-07
47791,2,2023-09-08
47792,2,2023-09-09
47793,2,2023-09-09
47794,6,2023-09-09
47798,6,2023-09-09
47799,2,2023-09-10
47804,2,2023-09-10
47811,6,2023-09-11
47814,2,2023-09-11
47816,2,2023-09-11
47820,6,2023-09-11
47821,6,2023-09-11
47822,6,2023-09-11
47824,2,2023-09-12
47826,2,2023-09-12
47827,2,2023-09-12
47828,2,2023-09-12
47829,6,2023-09-12
47831,2,2023-09-13
47832,2,2023-09-13
47836,6,2023-09-14
47837,6,2023-09-14
47841,2,2023-09-14
47845,2,2023-09-15
47846,2,2023-09-15
47847,2,2023-09-15
47848,2,2023-09-15
47851,2,2023-09-16
47852,6,2023-09-16
47853,2,2023-09-16
47855,6,2023-09-16
47856,2,2023-09-16
47857,2,2023-09-16
47859,2,2023-09-17
47860,6,2023-09-17
47861,6,2023-09-17
47865,6,2023-09-17
47866,6,2023-09-17
47867,2,2023-09-17
47868,6,2023-09-17
47878,2,2023-09-18
47880,2,2023-09-19
47883,6,2023-09-19
47884,2,2023-09-19
47886,2,2023-09-19
47887,6,2023-09-19
47888,6,2023-09-19
47890,2,2023-09-20
47894,2,2023-09-20
47899,2,2023-09-21
47900,2,2023-09-21
47901,6,2023-09-21
47902,2,2023-09-21
47903,2,2023-09-22
47907,2,2023-09-22
47908,2,2023-09-22
47909,6,2023-09-22
47910,6,2023-09-22
47911,2,2023-09-22
47912,2,2023-09-23
47913,2,2023-09-23
47915,2,2023-09-23
47917,2,2023-09-23
47918,2,2023-09-23
47920,2,2023-09-24
47923,2,2023-09-24
47926,2,2023-09-24
47929,2,2023-09-25
47931,2,2023-09-26
47940,6,2023-09-27
47941,6,2023-09-27
47944,2,2023-09-28
47945,2,2023-09-28
47946,2,2023-09-28
47948,2,2023-09-28
47950,6,2023-09-28
47951,6,2023-09-28
47952,2,2023-09-28
47953,2,2023-09-28
47956,2,2023-09-29
48094,2,2023-09-30
48097,2,2023-09-30
48099,2,2023-10-01
48100,6,2023-10-01
48101,2,2023-10-01
48105,6,2023-10-02
48106,2,2023-10-02
48107,2,2023-10-02
48109,2,2023-10-03
48121,2,2023-10-05
48122,2,2023-10-05
48123,2,2023-10-05
48128,6,2023-10-06
48130,2,2023-10-07
48131,2,2023-10-07
48132,6,2023-10-07
48136,6,2023-10-07
48137,6,2023-10-08
48139,2,2023-10-08
48141,6,2023-10-09
48142,2,2023-10-09
48144,2,2023-10-09
48145,2,2023-10-09
48148,2,2023-10-10
48150,2,2023-10-10
48152,6,2023-10-10
48153,2,2023-10-10
48162,2,2023-10-11
48166,2,2023-10-12
48167,2,2023-10-12
48170,6,2023-10-13
48171,2,2023-10-13
48172,2,2023-10-13
48174,2,2023-10-14
48175,6,2023-10-14
48178,6,2023-10-15
48179,2,2023-10-15
48181,2,2023-10-15
48182,2,2023-10-15
48185,2,2023-10-16
48193,6,2023-10-17
48194,2,2023-10-17
48200,2,2023-10-18
48201,6,2023-10-18
48202,6,2023-10-19
48203,2,2023-10-19
48205,2,2023-10-19
48206,6,2023-10-19
48208,2,2023-10-19
48210,6,2023-10-19
48212,2,2023-10-20
48213,2,2023-10-20
48214,2,2023-10-20
48218,2,2023-10-21
48219,6,2023-10-21
48224,6,2023-10-22
48227,2,2023-10-23
48228,2,2023-10-23
48229,6,2023-10-23
48230,2,2023-10-23
48231,2,2023-10-23
48238,2,2023-10-24
48241,2,2023-10-24
48242,6,2023-10-24
48245,6,2023-10-25
48246,6,2023-10-25
48250,2,2023-10-25
48253,2,2023-10-26
48265,2,2023-10-27
48266,2,2023-10-27
48268,2,2023-10-27
48270,2,2023-10-27
48271,6,2023-10-28
48273,2,2023-10-28
48274,2,2023-10-28
48277,2,2023-10-29
48278,2,2023-10-29
48282,2,2023-10-29
48405,6,2023-10-30
48409,2,2023-10-30
48410,2,2023-10-30
48414,2,2023-10-31
48415,6,2023-10-31
48417,2,2023-10-31
48418,6,2023-10-31
48429,6,2023-11-01
48430,2,2023-11-01
48431,6,2023-11-01
48438,2,2023-11-02
48443,6,2023-11-03
48444,2,2023-11-03
48449,2,2023-11-03
48450,2,2023-11-03
48451,2,2023-11-03
48452,2,2023-11-04
48454,2,2023-11-04
48455,2,2023-11-04
48456,2,2023-11-04
48457,2,2023-11-04
48465,6,2023-11-05
48473,6,2023-11-05
48475,2,2023-11-06
48477,6,2023-11-06
48480,6,2023-11-06
48481,2,2023-11-06
48484,6,2023-11-06
48488,6,2023-11-07
48489,2,2023-11-07
48491,2,2023-11-07
48493,2,2023-11-08
48495,2,2023-11-08
48496,2,2023-11-08
48497,2,2023-11-08
48499,2,2023-11-08
48500,2,2023-11-08
48503,2,2023-11-09
48509,6,2023-11-09
48510,6,2023-11-09
48511,2,2023-11-09
48512,6,2023-11-09
48516,6,2023-11-09
48517,2,2023-11-10
48522,2,2023-11-10
48527,6,2023-11-10
48529,2,2023-11-10
48530,6,2023-11-10
48531,2,2023-11-10
48532,2,2023-11-10
48537,2,2023-11-11
48541,2,2023-11-11
48542,2,2023-11-11
48544,6,2023-11-11
48545,2,2023-11-11
48548,2,2023-11-12
48553,2,2023-11-12
48554,2,2023-11-12
48557,2,2023-11-12
48558,2,2023-11-12
48559,6,2023-11-12
48565,2,2023-11-13
48572,2,2023-11-14
48575,2,2023-11-14
48576,2,2023-11-14
48580,2,2023-11-15
48581,6,2023-11-15
48586,6,2023-11-15
48590,6,2023-11-16
48591,2,2023-11-16
48592,6,2023-11-16
48593,2,2023-11-16
48594,2,2023-11-16
48597,6,2023-11-16
48598,6,2023-11-16
48601,2,2023-11-17
48602,6,2023-11-17
48603,6,2023-11-17
48604,6,2023-11-17
48605,2,2023-11-17
48606,2,2023-11-17
48608,2,2023-11-17
48609,6,2023-11-17
48610,2,2023-11-17
48611,2,2023-11-17
48612,6,2023-11-17
48619,2,2023-11-18
48620,2,2023-11-18
48621,2,2023-11-18
48622,6,2023-11-18
48623,6,2023-11-18
48624,2,2023-11-18
48627,2,2023-11-19
48628,6,2023-11-19
48630,2,2023-11-20
48634,2,2023-11-20
48635,2,2023-11-20
48639,2,2023-11-20
48640,6,2023-11-20
48641,6,2023-11-20
48646,2,2023-11-21
48647,6,2023-11-21
48648,6,2023-11-21
48652,2,2023-11-21
48653,2,2023-11-21
48658,6,2023-11-22
48659,2,2023-11-22
48660,6,2023-11-22
48662,2,2023-11-22
48663,2,2023-11-22
48664,6,2023-11-22
48666,2,2023-11-22
48671,2,2023-11-23
48673,2,2023-11-23
48676,2,2023-11-24
48677,2,2023-11-24
48678,2,2023-11-24
48679,6,2023-11-24
48681,6,2023-11-24
48682,6,2023-11-24
48685,2,2023-11-25
48687,6,2023-11-25
48690,2,2023-11-25
48693,2,2023-11-26
48694,2,2023-11-26
48695,2,2023-11-26
48696,2,2023-11-26
48698,2,2023-11-26
48699,2,2023-11-26
48700,2,2023-11-26
48701,2,2023-11-26
48703,2,2023-11-27
48704,2,2023-11-27
48710,6,2023-11-27
48717,6,2023-11-28
48718,6,2023-11-28
48719,2,2023-11-28
48721,2,2023-11-28
48722,2,2023-11-28
48723,2,2023-11-29
48727,2,2023-11-29
48728,6,2023-11-29
48798,2,2023-11-30
48799,6,2023-11-30
48804,6,2023-12-01
48808,2,2023-12-01
48809,2,2023-12-01
48810,2,2023-12-01
48812,6,2023-12-01
48813,2,2023-12-01
48814,2,2023-12-01
48816,6,2023-12-02
48819,6,2023-12-02
48820,2,2023-12-02
48823,2,2023-12-03
48824,2,2023-12-03
48826,2,2023-12-03
48827,2,2023-12-03
48828,2,2023-12-03
48829,2,2023-12-03
48834,6,2023-12-04
48835,2,2023-12-04
48836,2,2023-12-04
48839,2,2023-12-06
48840,2,2023-12-06
48842,6,2023-12-06
48845,2,2023-12-06
48846,2,2023-12-06
48849,2,2023-12-07
48850,6,2023-12-07
48851,6,2023-12-07
48854,6,2023-12-07
48855,6,2023-12-07
48856,2,2023-12-07
48858,2,2023-12-08
48861,6,2023-12-08
48862,6,2023-12-08
48863,6,2023-12-08
48864,6,2023-12-08
48866,2,2023-12-08
48871,2,2023-12-09
48874,2,2023-12-09
48879,2,2023-12-10
48880,2,2023-12-10
48882,2,2023-12-10
48883,6,2023-12-10
48886,6,2023-12-11
48887,6,2023-12-11
48889,2,2023-12-11
48890,2,2023-12-11
48891,2,2023-12-11
48900,2,2023-12-12
48901,6,2023-12-12
48902,2,2023-12-12
48904,2,2023-12-13
48905,2,2023-12-13
48906,6,2023-12-13
48907,2,2023-12-13
48908,2,2023-12-13
48909,6,2023-12-13
48913,2,2023-12-14
48914,6,2023-12-14
48916,2,2023-12-14
48917,6,2023-12-14
48918,2,2023-12-14
48920,6,2023-12-15
48921,2,2023-12-15
48922,2,2023-12-15
48924,2,2023-12-15
48927,2,2023-12-15
48929,6,2023-12-15
48933,2,2023-12-16
48934,6,2023-12-16
48936,6,2023-12-16
48937,6,2023-12-16
48939,2,2023-12-17
48941,2,2023-12-17
48942,2,2023-12-17
48943,6,2023-12-17
48945,2,2023-12-18
48946,2,2023-12-18
48947,6,2023-12-18
48948,6,2023-12-18
48950,2,2023-12-19
48951,6,2023-12-19
48952,2,2023-12-19
48953,2,2023-12-19
48954,2,2023-12-19
48955,2,2023-12-19
48956,6,2023-12-19
48960,6,2023-12-20
48961,2,2023-12-20
48962,2,2023-12-20
48971,2,2023-12-21
48972,2,2023-12-21
48976,6,2023-12-22
48980,2,2023-12-22
48981,2,2023-12-22
48984,6,2023-12-22
48985,2,2023-12-22
48988,2,2023-12-23
48989,2,2023-12-23
48990,2,2023-12-23
48991,6,2023-12-23
48995,6,2023-12-24
48997,2,2023-12-24
49000,2,2023-12-25
49001,6,2023-12-25
49003,2,2023-12-25
49004,2,2023-12-25
49005,2,2023-12-25
49006,2,2023-12-25
49007,2,2023-12-25
49010,2,2023-12-26
49011,2,2023-12-26
49012,2,2023-12-27
49013,2,2023-12-27
49014,2,2023-12-27
49015,6,2023-12-27
49016,2,2023-12-27
49026,2,2023-12-29
49028,2,2023-12-29
49031,2,2023-12-30
49032,2,2023-12-30
49034,2,2023-12-30
49036,2,2023-12-30
49037,6,2023-12-30
49038,2,2023-12-30
49172,2,2023-12-31
49173,6,2023-12-31
49174,6,2023-12-31
49175,2,2023-12-31
49176,6,2023-12-31
49177,6,2023-12-31
49182,2,2024-01-01
49183,2,2024-01-01
49184,2,2024-01-01
49185,2,2024-01-01
49186,2,2024-01-01
49188,2,2024-01-01
49193,2,2024-01-02
49196,6,2024-01-02
49197,2,2024-01-02
49200,2,2024-01-03
49201,2,2024-01-03
49204,6,2024-01-03
49205,2,2024-01-03
49207,2,2024-01-03
49210,6,2024-01-03
49211,6,2024-01-03
49219,2,2024-01-04
49220,6,2024-01-04
49222,6,2024-01-04
49223,2,2024-01-04
49224,2,2024-01-04
49226,2,2024-01-05
49227,2,2024-01-05
49228,2,2024-01-05
49229,6,2024-01-05
49230,2,2024-01-05
49231,2,2024-01-05
49239,6,2024-01-06
49240,6,2024-01-06
49241,6,2024-01-06
49242,2,2024-01-06
49243,2,2024-01-06
49244,2,2024-01-06
49247,2,2024-01-07
49252,6,2024-01-07
49253,2,2024-01-07
49254,2,2024-01-07
49256,6,2024-01-07
49258,2,2024-01-08
49259,2,2024-01-08
49260,2,2024-01-08
49261,2,2024-01-08
49264,6,2024-01-08
49265,6,2024-01-08
49266,2,2024-01-08
49267,6,2024-01-08
49268,6,2024-01-08
49270,6,2024-01-09
49271,6,2024-01-09
49272,2,2024-01-09
49273,6,2024-01-09
49274,2,2024-01-09
49275,2,2024-01-09
49277,6,2024-01-10
49278,2,2024-01-10
49279,2,2024-01-10
49280,2,2024-01-11
49282,2,2024-01-11
49283,6,2024-01-11
49285,6,2024-01-11
49286,6,2024-01-11
49287,6,2024-01-11
49288,6,2024-01-11
49290,2,2024-01-12
49293,2,2024-01-12
49294,2,2024-01-12
49295,2,2024-01-12
49296,6,2024-01-12
49297,2,2024-01-12
49298,6,2024-01-12
49307,2,2024-01-13
49308,6,2024-01-13
49312,2,2024-01-14
49313,2,2024-01-14
49314,2,2024-01-14
49315,2,2024-01-14
49321,6,2024-01-14
49323,2,2024-01-15
49324,6,2024-01-15
49325,6,2024-01-15
49326,2,2024-01-15
49327,2,2024-01-16
49330,6,2024-01-16
49331,2,2024-01-16
49332,6,2024-01-16
49333,6,2024-01-16
49334,2,2024-01-16
49337,2,2024-01-16
49338,2,2024-01-16
49339,2,2024-01-17
49342,6,2024-01-17
49343,6,2024-01-17
49344,6,2024-01-17
49345,2,2024-01-17
49346,2,2024-01-17
49347,2,2024-01-17
49348,2,2024-01-17
49349,2,2024-01-17
49355,2,2024-01-18
49356,2,2024-01-18
49358,6,2024-01-18
49360,2,2024-01-18
49362,2,2024-01-19
49363,2,2024-01-19
49365,2,2024-01-19
49367,2,2024-01-19
49372,2,2024-01-20
49375,6,2024-01-20
49376,6,2024-01-20
49378,2,2024-01-20
49379,2,2024-01-20
49384,6,2024-01-20
49387,2,2024-01-21
49388,6,2024-01-21
49392,2,2024-01-21
49395,2,2024-01-21
49396,2,2024-01-22
49401,2,2024-01-23
49402,6,2024-01-23
49403,2,2024-01-23
49405,2,2024-01-23
49406,6,2024-01-23
49409,2,2024-01-23
49410,2,2024-01-24
49411,2,2024-01-24
49413,2,2024-01-24
49414,2,2024-01-24
49415,2,2024-01-24
49417,2,2024-01-24
49418,6,2024-01-24
49419,2,2024-01-24
49422,2,2024-01-24
49425,2,2024-01-25
49428,2,2024-01-25
49429,2,2024-01-25
49438,6,2024-01-27
49439,6,2024-01-27
49440,2,2024-01-27
49441,2,2024-01-27
49552,2,2024-01-28
49553,6,2024-01-28
49559,2,2024-01-29
49561,2,2024-01-29
49562,6,2024-01-29
49563,6,2024-01-29
49565,6,2024-01-29
49567,6,2024-01-29
49570,2,2024-01-30
49571,2,2024-01-30
49572,6,2024-01-30
49575,2,2024-01-31
49579,2,2024-01-31
49580,2,2024-01-31
49581,2,2024-02-01
49584,2,2024-02-01
49585,2,2024-02-01
49586,6,2024-02-01
49587,6,2024-02-01
49588,6,2024-02-01
49589,2,2024-02-01
49590,2,2024-02-01
49591,6,2024-02-01
49597,2,2024-02-01
49599,2,2024-02-02
49603,2,2024-02-02
49604,2,2024-02-03
49607,6,2024-02-03
49608,6,2024-02-03
49610,2,2024-02-03
49616,6,2024-02-04
49617,2,2024-02-04
49618,6,2024-02-04
49619,2,2024-02-04
49620,6,2024-02-04
49621,6,2024-02-04
49622,6,2024-02-04
49623,6,2024-02-04
49627,2,2024-02-05
49628,2,2024-02-05
49631,6,2024-02-05
49634,2,2024-02-06
49635,6,2024-02-06
49636,2,2024-02-06
49640,2,2024-02-07
49641,2,2024-02-07
49642,6,2024-02-07
49645,2,2024-02-08
49647,2,2024-02-08
49650,2,2024-02-08
49651,6,2024-02-08
49652,2,2024-02-08
49653,6,2024-02-08
49654,2,2024-02-08
49655,6,2024-02-08
49656,2,2024-02-08
49659,6,2024-02-08
49661,2,2024-02-08
49664,2,2024-02-09
49665,2,2024-02-09
49666,2,2024-02-09
49667,6,2024-02-09
49668,2,2024-02-09
49669,6,2024-02-09
49674,2,2024-02-10
49675,2,2024-02-10
49676,6,2024-02-10
49677,2,2024-02-10
49678,2,2024-02-10
49680,2,2024-02-11
49682,6,2024-02-11
49683,6,2024-02-11
49684,2,2024-02-11
49688,2,2024-02-12
49693,2,2024-02-13
49694,2,2024-02-13
49695,2,2024-02-13
49696,6,2024-02-13
49697,2,2024-02-13
49698,6,2024-02-13
49701,2,2024-02-14
49705,2,2024-02-14
49708,6,2024-02-14
49709,6,2024-02-14
49710,2,2024-02-14
49711,2,2024-02-14
49712,2,2024-02-14
49713,6,2024-02-14
49717,2,2024-02-15
49720,2,2024-02-15
49721,6,2024-02-15
49722,6,2024-02-15
49724,6,2024-02-15
49725,2,2024-02-15
49728,2,2024-02-16
49731,2,2024-02-16
49732,6,2024-02-16
49733,2,2024-02-16
49734,2,2024-02-16
49740,6,2024-02-17
49743,2,2024-02-17
49746,2,2024-02-18
49747,6,2024-02-18
49751,2,2024-02-19
49752,2,2024-02-19
49753,2,2024-02-19
49754,2,2024-02-19
49755,2,2024-02-19
49760,2,2024-02-20
49762,2,2024-02-21
49763,6,2024-02-21
49764,6,2024-02-21
49765,6,2024-02-21
49767,6,2024-02-22
49768,2,2024-02-22
49769,6,2024-02-22
49774,2,2024-02-23
49775,6,2024-02-23
49778,2,2024-02-24
49779,2,2024-02-24
49781,2,2024-02-24
49784,2,2024-02-24
49785,2,2024-02-24
49786,2,2024-02-24
49787,2,2024-02-24
49788,2,2024-02-24
49791,2,2024-02-25
49793,6,2024-02-25
49794,6,2024-02-25
49795,6,2024-02-25
49802,2,2024-02-26
49803,2,2024-02-26
49805,2,2024-02-26
49806,2,2024-02-26
49807,6,2024-02-26
49808,6,2024-02-26
49809,2,2024-02-26
49812,2,2024-02-27
49814,6,2024-02-27
49815,2,2024-02-27
49817,6,2024-02-27
49819,2,2024-02-27
49898,2,2024-02-28
49899,2,2024-02-28
49902,6,2024-02-28
49906,2,2024-02-29
49907,2,2024-02-29
49908,2,2024-02-29
49909,2,2024-02-29
49911,2,2024-02-29
49912,6,2024-02-29
49913,2,2024-02-29
49914,6,2024-02-29
49915,6,2024-02-29
49916,6,2024-02-29
49922,2,2024-03-01
49924,2,2024-03-02
49926,2,2024-03-02
49929,2,2024-03-02
49930,2,2024-03-02
49933,6,2024-03-02
49936,2,2024-03-03
49937,2,2024-03-03
49939,2,2024-03-03
49940,6,2024-03-03
49941,6,2024-03-03
49944,6,2024-03-03
49948,2,2024-03-04
49951,2,2024-03-05
49953,2,2024-03-05
49954,2,2024-03-05
49955,2,2024-03-05
49958,2,2024-03-05
49959,2,2024-03-05
49962,2,2024-03-06
49963,2,2024-03-06
49966,6,2024-03-06
49967,6,2024-03-06
49968,6,2024-03-06
49971,2,2024-03-06
49972,6,2024-03-06
49975,2,2024-03-07
49978,6,2024-03-07
49979,6,2024-03-07
49980,2,2024-03-07
49981,2,2024-03-07
49983,6,2024-03-07
49985,2,2024-03-08
49986,2,2024-03-08
49987,2,2024-03-08
49988,2,2024-03-08
49989,2,2024-03-08
49990,6,2024-03-08
49991,6,2024-03-09
49992,2,2024-03-09
49993,2,2024-03-09
49996,2,2024-03-09
49997,6,2024-03-09
49998,2,2024-03-09
50000,6,2024-03-09
50001,6,2024-03-09
50002,2,2024-03-09
50004,6,2024-03-10
50007,6,2024-03-10
50008,6,2024-03-10
50010,2,2024-03-10
50011,2,2024-03-11
50012,2,2024-03-11
50014,2,2024-03-11
50020,2,2024-03-11
50021,2,2024-03-11
50022,2,2024-03-11
50026,6,2024-03-11
50029,6,2024-03-12
50030,6,2024-03-12
50032,2,2024-03-12
50033,6,2024-03-12
50034,6,2024-03-12
50036,6,2024-03-13
50039,2,2024-03-13
50040,6,2024-03-13
50044,2,2024-03-13
50046,2,2024-03-14
50049,6,2024-03-14
50050,6,2024-03-14
50051,6,2024-03-14
50052,6,2024-03-14
50054,2,2024-03-15
50060,2,2024-03-15
50065,2,2024-03-15
50070,2,2024-03-16
50071,2,2024-03-16
50072,2,2024-03-16
50074,6,2024-03-16
50075,6,2024-03-16
50077,2,2024-03-16
50078,2,2024-03-16
50080,6,2024-03-17
50084,2,2024-03-17
50086,2,2024-03-17
50087,2,2024-03-18
50092,6,2024-03-18
50094,6,2024-03-18
50095,2,2024-03-18
50101,2,2024-03-20
50102,2,2024-03-20
50107,2,2024-03-21
50113,2,2024-03-22
50114,6,2024-03-22
50120,6,2024-03-22
50121,6,2024-03-22
50124,6,2024-03-22
50125,2,2024-03-22
50126,6,2024-03-22
50127,2,2024-03-22
50128,6,2024-03-23
50133,2,2024-03-23
50134,6,2024-03-23
50135,6,2024-03-23
50139,6,2024-03-23
50140,2,2024-03-23
50141,2,2024-03-23
50143,2,2024-03-24
50149,6,2024-03-24
50155,6,2024-03-25
50156,2,2024-03-25
50157,6,2024-03-25
50158,6,2024-03-25
50159,2,2024-03-25
50163,6,2024-03-26
50168,6,2024-03-26
50169,6,2024-03-26
50178,6,2024-03-28
50180,2,2024-03-28
50184,2,2024-03-28
50185,2,2024-03-28
50187,2,2024-03-28
50323,6,2024-03-29
50325,6,2024-03-29
50326,6,2024-03-29
50328,6,2024-03-29
50329,6,2024-03-29
50333,6,2024-03-29
50334,2,2024-03-29
50335,6,2024-03-29
50336,2,2024-03-30
50337,2,2024-03-30
50341,6,2024-03-30
50342,2,2024-03-30
50345,6,2024-03-30
50346,6,2024-03-30
50347,6,2024-03-31
50355,6,2024-03-31
50356,6,2024-03-31
50357,6,2024-03-31
50359,2,2024-03-31
50360,2,2024-03-31
50362,2,2024-04-01
50363,2,2024-04-01
50365,2,2024-04-01
50366,2,2024-04-01
50368,2,2024-04-01
50369,6,2024-04-01
50372,2,2024-04-02
50373,2,2024-04-02
50379,2,2024-04-02
50380,6,2024-04-02
50381,6,2024-04-02
50382,2,2024-04-02
50385,6,2024-04-03
50387,6,2024-04-03
50388,6,2024-04-03
50389,2,2024-04-03
50390,6,2024-04-03
50396,2,2024-04-03
50397,2,2024-04-03
50398,2,2024-04-03
50400,2,2024-04-04
50402,2,2024-04-04
50404,2,2024-04-04
50406,2,2024-04-04
50412,2,2024-04-05
50413,6,2024-04-05
50416,2,2024-04-05
50417,2,2024-04-05
50421,2,2024-04-05
50422,6,2024-04-05
50423,2,2024-04-05
50425,2,2024-04-06
50426,6,2024-04-06
50431,2,2024-04-06
50435,6,2024-04-07
50437,2,2024-04-07
50439,2,2024-04-08
50442,6,2024-04-08
50443,2,2024-04-08
50447,2,2024-04-08
50448,2,2024-04-08
50449,6,2024-04-08
50450,2,2024-04-09
50451,2,2024-04-09
50452,2,2024-04-09
50456,2,2024-04-09
50457,2,2024-04-09
50458,6,2024-04-09
50459,2,2024-04-09
50463,2,2024-04-10
50467,6,2024-04-10
50471,6,2024-04-10
50472,2,2024-04-11
50474,2,2024-04-11
50477,6,2024-04-11
50481,6,2024-04-11
50483,6,2024-04-11
50485,2,2024-04-12
50489,2,2024-04-12
50490,6,2024-04-12
50491,6,2024-04-12
50492,2,2024-04-12
50493,2,2024-04-13
50499,6,2024-04-13
50500,6,2024-04-13
50504,6,2024-04-14
50505,2,2024-04-14
50509,2,2024-04-15
50511,2,2024-04-16
50512,6,2024-04-16
50513,2,2024-04-16
50515,2,2024-04-16
50516,2,2024-04-16
50517,6,2024-04-16
50520,6,2024-04-17
50521,6,2024-04-17
50523,2,2024-04-17
50529,2,2024-04-18
50533,2,2024-04-18
50534,6,2024-04-18
50536,2,2024-04-18
50538,2,2024-04-19
50539,2,2024-04-19
50541,2,2024-04-19
50544,2,2024-04-19
50545,6,2024-04-19
50546,6,2024-04-19
50550,6,2024-04-20
50557,2,2024-04-20
50558,2,2024-04-20
50559,2,2024-04-20
50560,2,2024-04-20
50564,2,2024-04-21
50565,2,2024-04-21
50566,2,2024-04-21
50567,6,2024-04-21
50574,2,2024-04-21
50576,2,2024-04-21
50583,6,2024-04-22
50584,2,2024-04-22
50585,6,2024-04-23
50586,2,2024-04-23
50587,2,2024-04-23
50588,2,2024-04-23
50589,2,2024-04-23
50590,6,2024-04-23
50591,2,2024-04-23
50593,6,2024-04-23
50594,2,2024-04-23
50596,2,2024-04-24
50597,2,2024-04-24
50598,6,2024-04-24
50601,6,2024-04-24
50602,2,2024-04-24
50603,2,2024-04-24
50605,6,2024-04-25
50606,6,2024-04-25
50611,2,2024-04-25
50612,2,2024-04-25
50613,2,2024-04-25
50616,2,2024-04-25
50617,6,2024-04-26
50618,2,2024-04-26
50619,6,2024-04-26
50620,6,2024-04-26
50625,2,2024-04-26
50627,2,2024-04-27
50628,2,2024-04-27
50634,2,2024-04-27
50635,6,2024-04-27
50636,6,2024-04-27
50639,2,2024-04-27
50640,2,2024-04-27
50641,6,2024-04-28
50643,6,2024-04-28
50644,2,2024-04-28
50648,2,2024-04-28
50650,2,2024-04-28
50655,2,2024-04-28
50657,2,2024-04-28
50760,6,2024-04-29
50766,2,2024-04-29
50768,2,2024-04-29
50769,2,2024-04-29
50771,2,2024-04-29
50772,2,2024-04-29
50775,2,2024-04-30
50777,6,2024-04-30
50778,6,2024-04-30
50781,2,2024-04-30
50782,2,2024-04-30
50783,2,2024-04-30
50785,6,2024-04-30
